  6.0999999e+000  5.6700001e+002  1.0640000e+000
  6.8000001e+000  5.7700001e+002  1.0630000e+000
  6.0999999e+000  5.8099999e+002  1.0630000e+000
  6.3000000e+000  5.7700001e+002  1.0620000e+000
  6.3000000e+000  5.6999999e+002  1.0630000e+000
  6.9000000e+000  5.7499999e+002  1.0630000e+000
  6.0000000e+000  5.8300001e+002  1.0640000e+000
  6.3999999e+000  5.7599999e+002  1.0650000e+000
  6.0000000e+000  5.7599999e+002  1.0630000e+000
  6.5000001e+000  5.8300001e+002  1.0620000e+000
  5.9000001e+000  5.8000000e+002  1.0630000e+000
  7.5000000e+000  5.5300000e+002  1.0640000e+000
  7.7000001e+000  6.0199999e+002  1.0590000e+000
  7.5999999e+000  6.6000001e+002  1.0590000e+000
  8.1000000e+000  7.0400000e+002  1.0560000e+000
  1.0500000e+001  8.3400000e+002  1.0540000e+000
  1.0900000e+001  8.8600000e+002  1.0590000e+000
  1.1600000e+001  8.2599999e+002  1.0770000e+000
  1.2400000e+001  7.4500000e+002  1.0970000e+000
  1.3600000e+001  6.9599999e+002  1.1120000e+000
  1.5300000e+001  6.7800000e+002  1.1240000e+000
  1.6600000e+001  7.4600000e+002  1.1340000e+000
  1.7400000e+001  8.9300000e+002  1.1480000e+000
  1.7700000e+001  1.0090000e+003  1.1720000e+000
  1.7400000e+001  1.1370000e+003  1.2020000e+000
  1.7600000e+001  1.2540000e+003  1.2370000e+000
  1.7900000e+001  1.3790000e+003  1.2750000e+000
  1.8700000e+001  1.5020000e+003  1.3230000e+000
  1.9100000e+001  1.6180000e+003  1.3790000e+000
  1.9800000e+001  1.7440000e+003  1.4410000e+000
  1.9400000e+001  1.8720000e+003  1.5180000e+000
  1.3900000e+001  1.9570000e+003  1.6040000e+000
  9.6999999e+000  2.0110000e+003  1.6390000e+000
  3.9999999e+000  2.0460000e+003  1.6110000e+000
  4.2999999e+000  2.0670000e+003  1.5510000e+000
  0.0000000e+000  1.9610000e+003  1.4810000e+000
  0.0000000e+000  1.8230000e+003  1.4210000e+000
  0.0000000e+000  1.6970000e+003  1.3800000e+000
  0.0000000e+000  1.5820000e+003  1.3410000e+000
  0.0000000e+000  1.4720000e+003  1.3180000e+000
